"idx","token","type"
0,"via","O"
0,"willing","O"
0,"remove","B-RT"
0,"todo","I-RT"
0,"with","O"
0,"'","O"
0,"whoever","B-CNT"
0,"steepen","I-CNT"
0,"worthy","I-CNT"
0,"boy","I-CNT"
0,"'","O"
0,"moreover","O"
0,"sharply","O"
0,"superficial","O"
0,"convenience","O"
0,"meh","O"
0,"since","O"
0,"consequently","O"
0,"complete","B-CT"
0,"todo","I-CT"
0,"containing","O"
0,"throughout","B-CNT"
0,"drat","I-CNT"
0,"post","I-CNT"
0,"which","I-CNT"
0,"before","I-CNT"
0,"lest","I-CNT"
0,"after that","O"
0,"embellished","O"
0,"despite","O"
0,"since","O"
0,"insure","O"
0,"even","O"
0,"sometimes","O"
0,"until","O"
0,"shrivel","O"
0,"about","O"
0,"todo","O"
0,"named","O"
0,"specialist","O"
0,"plaster","O"
1,"against","O"
1,"tomatillo","O"
1,"yuck","O"
1,"really","O"
1,"desert","O"
1,"down","O"
1,"ketchup","O"
1,"done","B-CT"
1,"todo","I-CT"
1,"with","O"
1,"to","B-CNT"
1,"and","I-CNT"
1,"by","I-CNT"
1,"hock","I-CNT"
1,"like","I-CNT"
1,"during","I-CNT"
1,"lands","I-CNT"
1,".","O"
1,"majestically","O"
1,"cool","O"
1,"likewise","O"
1,"whose","O"
1,"meh","O"
1,"gender","O"
1,"for","O"
1,"circa","O"
1,"remove","B-RT"
1,"todo","I-RT"
1,"truncate","B-CNT"
1,"sadly","I-CNT"
1,"provided","I-CNT"
1,"sojourn","I-CNT"
1,"digitize","I-CNT"
1,"overcooked","I-CNT"
1,"duh","I-CNT"
1,"luxuriate","I-CNT"
2,"reservation","O"
2,"irritably","O"
2,"remove","B-RT"
2,"todo","I-RT"
2,"containing","O"
2,"'","O"
2,"juice","B-CNT"
2,"likewise","I-CNT"
2,"anise","I-CNT"
2,"indeed","I-CNT"
2,"awkwardly","I-CNT"
2,"dip","I-CNT"
2,"violently","I-CNT"
2,"scholarship","I-CNT"
2,"'","O"
3,"bartender","O"
3,"remove","B-RT"
3,"todo","I-RT"
3,"using","O"
3,"swordfight","B-CNT"
3,"merchandise","I-CNT"
3,"upliftingly","I-CNT"
3,"yippee","I-CNT"
3,"easily","I-CNT"
3,"vivaciously","I-CNT"
3,"which","I-CNT"
3,"then","O"
3,"keyboard","O"
3,"generate","B-AT"
3,"todo","I-AT"
3,"with","O"
3,"content","O"
3,"'","O"
3,"aw","B-CNT"
3,"complicated","I-CNT"
3,"max","I-CNT"
3,"immediately","I-CNT"
3,"gee","I-CNT"
3,"dual","I-CNT"
3,"flex","I-CNT"
3,"yowza","I-CNT"
3,"upside-down","I-CNT"
3,"'","O"
3,"after that","O"
3,"aw","O"
3,"awkwardly","O"
3,"drat","O"
3,"past","O"
3,"with","O"
3,"few","O"
3,"bah","O"
3,"daikon","O"
3,"before","O"
3,"for","O"
3,"todo","O"
3,"named","O"
3,"indeed","O"
3,"or","O"
3,"versus","O"
3,"sans","O"
3,"stage","O"
3,"miniature","O"
3,"agonise","O"
3,"noisily","O"
4,"towards","O"
4,"smudge","O"
4,"trill","O"
4,"zowie","O"
4,"submissive","O"
4,"todo","O"
4,"todo","O"
4,"named","O"
4,"keen","O"
4,"over","O"
4,"angry","O"
4,"oddly","O"
4,"ha","O"
4,"vegetarianism","O"
4,"besides","O"
5,"huzzah","O"
5,"er","O"
5,"huzzah","O"
5,"upset","O"
5,"stale","O"
5,"coagulate","O"
5,"within","O"
5,"complete","B-CT"
5,"todo","I-CT"
5,"using","O"
5,"'","O"
5,"expert","B-CNT"
5,"jovially","I-CNT"
5,"besides","I-CNT"
5,"hug","I-CNT"
5,"ick","I-CNT"
5,"'","O"
5,".","O"
5,"flip","O"
5,"skin","O"
5,"delete","B-RT"
5,"a","I-RT"
5,"todo","I-RT"
5,"ugh","B-CNT"
5,"gathering","I-CNT"
5,"voluminous","I-CNT"
5,"and","O"
5,"why","O"
5,"so","O"
5,"numeracy","O"
5,"mesmerize","O"
5,"commerce","O"
5,"incidentally","O"
5,"ah","O"
5,"add","B-AT"
5,"a","I-AT"
5,"todo","I-AT"
5,"named","O"
5,"on","B-CNT"
5,"gee","I-CNT"
5,"gadzooks","I-CNT"
5,"reorganize","I-CNT"
5,"await","I-CNT"
5,"swig","I-CNT"
5,"and","I-CNT"
5,"boo","I-CNT"
6,"for","O"
6,"savory","O"
6,"eventually","O"
6,"ukulele","O"
6,"curdle","O"
6,"vaguely","O"
6,"unwieldy","O"
6,"why","O"
6,"embossing","O"
6,"before","O"
6,"generate","B-AT"
6,"todo","I-AT"
6,"named","O"
6,"foolishly","B-CNT"
6,"under","I-CNT"
6,"after that","O"
6,"jockey","O"
6,"funnel","O"
6,"percolate","O"
6,"done","B-CT"
6,"a","I-CT"
6,"todo","I-CT"
6,"named","O"
6,"'","O"
6,"oddly","B-CNT"
6,"solid","I-CNT"
6,"than","I-CNT"
6,"joyful","I-CNT"
6,"'","O"
6,"and","O"
6,"verbalize","O"
6,"smarten","O"
6,"a","O"
6,"so","O"
6,"destroy","B-RT"
6,"a","I-RT"
6,"todo","I-RT"
6,"with","O"
6,"round","B-CNT"
6,"blue","I-CNT"
6,"statute","I-CNT"
6,"hoist","I-CNT"
7,"ouch","O"
7,"incidentally","O"
7,"echo","O"
7,"monsoon","O"
7,"healthily","O"
7,"an","O"
7,"consequently","O"
7,"why","O"
7,"yet","O"
7,"delve","O"
7,"destroy","B-RT"
7,"a","I-RT"
7,"todo","I-RT"
7,"with","O"
7,"content","O"
7,"sidestream","B-CNT"
7,"drat","I-CNT"
7,"sans","I-CNT"
7,"needily","I-CNT"
7,"amongst","I-CNT"
7,"questioningly","I-CNT"
7,"boo","I-CNT"
7,"considering","I-CNT"
8,"per","O"
8,"save","O"
8,"homely","O"
8,"fizz","O"
8,"via","O"
8,"but","O"
8,"and","O"
8,"earrings","O"
8,"skin","O"
8,"woot","O"
8,"delete","B-RT"
8,"a","I-RT"
8,"todo","I-RT"
8,"pace","B-CNT"
8,"adventurously","I-CNT"
8,"somber","I-CNT"
8,"dizzy","I-CNT"
8,"generously","I-CNT"
8,"curiously","I-CNT"
8,"silently","I-CNT"
8,"beyond","I-CNT"
8,"ugh","I-CNT"
8,"happy","I-CNT"
8,"then","O"
8,"parsnip","O"
8,"indeed","O"
8,"candy","O"
8,"venom","O"
8,"chlorinate","O"
8,"population","O"
8,"consequently","O"
8,"patina","O"
8,"generate","B-AT"
8,"a","I-AT"
8,"todo","I-AT"
8,"containing","O"
8,"brr","B-CNT"
8,"and","O"
8,"microlending","O"
8,"dearest","O"
8,"sane","O"
8,"general","O"
8,"boo","O"
8,"even","O"
8,"duh","O"
8,"knottily","O"
8,"aha","O"
8,"while","O"
8,"todo","O"
8,"with","O"
8,"'","O"
8,"echo","O"
8,"vanquish","O"
8,"whoever","O"
8,"and","O"
8,"molder","O"
8,"'","O"
9,"pace","O"
9,"evening-wear","O"
9,"because","O"
9,"dialect","O"
9,"hm","O"
9,"or","O"
9,"hmph","O"
9,"round","O"
9,"departure","O"
9,"create","B-AT"
9,"a","I-AT"
9,"todo","I-AT"
9,"'","O"
9,"evolution","B-CNT"
9,"ick","I-CNT"
9,"onto","I-CNT"
9,"ouch","I-CNT"
9,"index","I-CNT"
9,"eek","I-CNT"
9,"ack","I-CNT"
9,"subscribe","I-CNT"
9,"briskly","I-CNT"
9,"inasmuch","I-CNT"
9,"'","O"
9,"then","O"
9,"rigidly","O"
9,"between","O"
9,"todo","O"
9,"todo","O"
9,"where","O"
9,"idolized","O"
9,"gazelle","O"
9,"gosh","O"
9,"oh","O"
9,"ascot","O"
9,"whittle","O"
9,"lest","O"
9,"wallaby","O"
9,"potentially","O"
9,".","O"
9,"extirpate","O"
9,"court","O"
9,"sleet","O"
9,"delete","B-RT"
9,"a","I-RT"
9,"todo","I-RT"
9,"with","O"
9,"aw","B-CNT"
9,"root","I-CNT"
9,"now","I-CNT"
9,"light","I-CNT"
9,"ack","I-CNT"
9,"overfeed","I-CNT"
9,"pfft","I-CNT"
9,"forenenst","I-CNT"
10,"soon","O"
10,"tea","O"
10,"who","O"
10,"at","O"
10,"outside","O"
10,"however","O"
10,"revolutionize","O"
10,"gadzooks","O"
10,"briefly","O"
10,"unselfish","O"
10,"create","B-AT"
10,"todo","I-AT"
10,"named","O"
10,"supposing","B-CNT"
10,"surface","I-CNT"
10,"discharge","I-CNT"
10,"which","I-CNT"
10,"under","I-CNT"
10,"writer","I-CNT"
10,"and","O"
10,"athwart","O"
10,"curio","O"
10,"trustworthy","O"
10,"delete","B-RT"
10,"a","I-RT"
10,"todo","I-RT"
10,"named","O"
10,"unbearably","B-CNT"
10,"psst","I-CNT"
10,"yippee","I-CNT"
10,"gosh","I-CNT"
10,"last","I-CNT"
10,"evaluate","I-CNT"
11,"light","O"
11,"fixed","O"
11,"swivel","O"
11,"who","O"
11,"destroy","B-RT"
11,"todo","I-RT"
11,"where","O"
11,"'","O"
11,"sympathetically","B-CNT"
11,"hoard","I-CNT"
11,"underneath","I-CNT"
11,"oof","I-CNT"
11,"when","I-CNT"
11,"thoughtfully","I-CNT"
11,"duh","I-CNT"
11,"even","I-CNT"
11,"'","O"
12,"lest","O"
12,"aspirate","O"
12,"potentially","O"
12,"crumb","O"
12,"on","O"
12,"drat","O"
12,"wholly","O"
12,"kiddingly","O"
12,"done","B-CT"
12,"a","I-CT"
12,"todo","I-CT"
12,"containing","O"
12,"considering","B-CNT"
12,"into","I-CNT"
12,"excitedly","I-CNT"
12,"steer","I-CNT"
12,"and","O"
12,"society","O"
